CELL 0.71073 8.012 8.345 9.199 64.855 80.897 81.833    

Si01, 1   0.42542600  0.64122000  0.20298200
O002, 1   0.61801100  0.60159600  0.25515600
O003, 1   0.34567000  0.45584100  0.23996400
C004, 1   0.42261100  0.77283000  0.98314900
H00A, 1   0.46637400  0.88805800  0.95229800
H00B, 1   0.30600100  0.79146400  0.95575600
H00C, 1   0.49396400  0.70874900  0.92483300
C005, 1   0.91288300  0.60994500  0.15120300
H00D, 1   0.93510500  0.62149200  0.24903000
H00E, 1   0.01077000  0.53862200  0.12171700
C006, 1   0.75518100  0.51408700  0.18888700
H00F, 1   0.72524300  0.51282100  0.08903200
H00G, 1   0.77613800  0.38955700  0.26730300
C007, 1   0.89754700  0.79170300  0.01522200
H00H, 1   0.87831900  0.78077100  0.91734600
H00I, 1   0.00240200  0.84922400  0.99516800
H00J, 1   0.80193100  0.86350800  0.04457800
C008, 1   0.30574400  0.75424400  0.32637000
H00K, 1   0.30589100  0.67452500  0.44113300
H00L, 1   0.18863400  0.78616800  0.29919300
H00M, 1   0.35915200  0.86205900  0.30431000
C009, 1   0.18813600  0.05676200  0.59723100
H00N, 1   0.27434200  0.96640400  0.58455300
H00O, 1   0.07639300  0.00986500  0.62718100
H00P, 1   0.21436700  0.08785900  0.68208900
C00A, 1   0.34455800  0.30679600  0.39518200
H00Q, 1   0.35911500  0.34793100  0.47838300
H00R, 1   0.44105700  0.21939000  0.39230500
C00B, 1   0.18706000  0.22165800  0.43859400
H00S, 1   0.16890900  0.18799800  0.35158900
H00T, 1   0.09143800  0.30715900  0.44809800


